cohort,cust_id,org_id
2,12929,12678
2,12926,12675
2,12908,12657
2,12873,12622
2,12863,12612
2,12854,12603
2,12844,12594
2,12814,12566
2,12804,12556
2,12801,12553
2,12799,12551
2,12785,12537
2,12765,12517
2,12764,12516
2,12735,12487
2,12729,12481
2,12728,12480
2,12724,12476
2,12721,12473
2,12693,12445
2,12691,12443
2,12678,12431
2,12675,12428
2,12645,12398
2,12643,12396
2,12640,12393
2,12637,12391
2,12636,12390
2,12629,12383
2,12625,12379
2,12620,12374
2,12619,12373
2,12615,12369
2,12564,12317
2,12560,12313
2,12541,12298
2,12523,12280
2,12514,12272
2,12491,12249
2,12487,12245
2,12482,12240
2,12430,12188
2,12426,12184
2,12404,12162
2,12395,12153
2,12391,12149
2,12387,12145
2,12385,12143
2,12370,12128
2,12366,12124
2,12348,12107
2,12329,12088
2,12328,12087
2,12326,12085
2,12316,12075
2,12301,12062
2,12299,12060
2,12288,12050
2,12286,12048
2,12285,12047
2,12283,12045
2,12278,12040
2,12275,12037
2,12273,12035
2,12263,12025
2,12252,12014
2,12230,11992
2,12218,11980
2,12205,11967
2,12201,11963
2,12196,11958
2,12190,11953
2,12186,11949
2,12183,11946
2,12153,11916
2,12150,11913
2,12148,11911
2,12141,11904
2,12126,11889
2,12124,11887
2,12121,11884
2,12120,11883
2,12110,11874
2,12091,11856
2,12046,11812
2,12045,11811
2,12044,11810
2,12042,11808
2,12036,11802
2,12024,11790
2,12016,11782
2,12011,11777
2,12006,11772
2,11998,11764
2,11958,11724
2,11933,11699
2,11932,11698
2,11921,11687
2,11919,11685
2,11895,11661
2,11891,11657
2,11884,11650
2,11872,11638
2,11858,11625
2,11854,11623
2,11843,11612
2,11830,11599
2,11827,11596
2,11820,11589
2,11819,11588
2,11814,11583
2,11806,11575
2,11787,11556
2,11785,11554
2,11762,11531
2,11761,11530
2,11751,11520
2,11750,11519
2,11747,11516
2,11742,11511
2,11739,11508
2,11737,11506
2,11720,11489
2,11691,11460
2,11687,11456
2,11678,11447
2,11662,11431
2,11651,11420
2,11650,11419
2,11645,11414
2,11635,11404
2,11630,11399
2,11628,11397
2,11626,11395
2,11609,11378
2,11605,11374
2,11581,11350
2,11558,11327
2,11546,11315
2,11540,11309
